DATE,MKTGDPCAA646NWDB
1960-01-01,40461721692.6468
1961-01-01,40934952063.9468
1962-01-01,42227447631.9159
1963-01-01,45029988561.2124
1964-01-01,49377522896.703
1965-01-01,54515179580.7148
1966-01-01,61088384036.6515
1967-01-01,65668655501.1254
1968-01-01,71829810519.8955
1969-01-01,79148411661.6902
1970-01-01,87896095320.1263
1971-01-01,99271961774.6088
1972-01-01,113082820486.918
1973-01-01,131321858814.119
1974-01-01,160408697341.513
1975-01-01,173834029689.343
1976-01-01,206575564908.722
1977-01-01,211612157028.679
1978-01-01,218632867537.477
1979-01-01,243072102612.259
1980-01-01,273853826548.067
1981-01-01,306214863624.99
1982-01-01,313506525087.136
1983-01-01,340547711781.889
1984-01-01,355372558103.621
1985-01-01,364756499450.751
1986-01-01,377437927311.983
1987-01-01,431316742081.448
1988-01-01,507354351182.254
1989-01-01,565055743243.243
1990-01-01,593929550908.468
1991-01-01,610328183643.188
1992-01-01,592387689252.916
1993-01-01,577170761956.438
1994-01-01,578139279437.61
1995-01-01,604031623433.401
1996-01-01,628546387972.131
1997-01-01,654986999855.554
1998-01-01,634000000000.0
1999-01-01,678412196271.118
2000-01-01,744773415931.587
2001-01-01,738981792355.372
2002-01-01,760649334098.005
2003-01-01,895540646634.787
2004-01-01,1026690238278.25
2005-01-01,1173108598778.68
2006-01-01,1319264809590.97
2007-01-01,1468820407783.26
2008-01-01,1552989690721.65
2009-01-01,1374625142157.29
2010-01-01,1617343367486.26
2011-01-01,1793326630174.52
2012-01-01,1828366481521.6
2013-01-01,1846597421834.98
2014-01-01,1805749878439.94
2015-01-01,1556508816217.14
2016-01-01,1527994741907.43
2017-01-01,1649265644244.09
2018-01-01,1725329192783.02
2019-01-01,1742015045482.31
2020-01-01,1645423407568.36
